TINDAK SEQUENCE NUMBER,NEGERI,TAHUN,Jenis Undi,Kod Parlimen,Nama Parlimen,Kod DUN,Nama DUN,KOD DM,Nama Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),PR,PR_CALON,PR_UNDI,BN,BN_CALON,BN_UNDI,LAIN1,LAIN_CALON,LAIN1_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1463,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/05,CHAROK BEMBAN,SEKOLAH MENENGAH KEBANGSAAN SYED ABU BAKAR,2,361,PAS,UST TAIB AZAMUDDEN,202,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,158,,,,360,1,0
1464,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/05,CHAROK BEMBAN,SEKOLAH MENENGAH KEBANGSAAN SYED ABU BAKAR,3,331,PAS,UST TAIB AZAMUDDEN,180,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,149,,,,329,2,0
1465,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/06,GUA REBAN,SEKOLAH KEBANGSAAN SEBERANG KETIL,1,320,PAS,UST TAIB AZAMUDDEN,112,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,197,,,,309,11,0
1466,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/06,GUA REBAN,SEKOLAH KEBANGSAAN SEBERANG KETIL,2,532,PAS,UST TAIB AZAMUDDEN,268,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,263,,,,531,1,0
1467,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/07,KAMPUNG PADANG,SEKOLAH KEBANGSAAN KAMPUNG PADANG,1,323,PAS,UST TAIB AZAMUDDEN,129,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,188,,,,317,6,0
1468,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/07,KAMPUNG PADANG,SEKOLAH KEBANGSAAN KAMPUNG PADANG,2,479,PAS,UST TAIB AZAMUDDEN,242,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,234,,,,476,3,0
1469,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/08,LANAI,SEKOLAH KEBANGSAAN LANAI,1,305,PAS,UST TAIB AZAMUDDEN,201,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,92,,,,293,12,0
1470,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/08,LANAI,SEKOLAH KEBANGSAAN LANAI,2,340,PAS,UST TAIB AZAMUDDEN,231,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,106,,,,337,3,0
1471,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/08,LANAI,SEKOLAH KEBANGSAAN LANAI,3,312,PAS,UST TAIB AZAMUDDEN,222,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,90,,,,312,0,0
1472,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/09,MENGKUANG,INSTITUT PENGAJIAN NADI TAHFIZ AL- QURAN & KEMAHIRAN,1,318,PAS,UST TAIB AZAMUDDEN,216,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,95,,,,311,7,0
1473,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/09,MENGKUANG,INSTITUT PENGAJIAN NADI TAHFIZ AL- QURAN & KEMAHIRAN,2,452,PAS,UST TAIB AZAMUDDEN,272,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,173,,,,445,7,0
1474,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/09,MENGKUANG,INSTITUT PENGAJIAN NADI TAHFIZ AL- QURAN & KEMAHIRAN,3,398,PAS,UST TAIB AZAMUDDEN,252,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,145,,,,397,1,0
1475,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/10,LUBOK KABU,SEKOLAH MENENGAH KEBANGSAAN KUALA PEGANG,1,322,PAS,UST TAIB AZAMUDDEN,149,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,168,,,,317,5,0
1476,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/10,LUBOK KABU,SEKOLAH MENENGAH KEBANGSAAN KUALA PEGANG,2,305,PAS,UST TAIB AZAMUDDEN,173,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,131,,,,304,1,0
1477,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/11,KUALA PEGANG,SEKOLAH KEBANGSAAN KUALA PEGANG,1,271,PAS,UST TAIB AZAMUDDEN,116,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,150,,,,266,5,0
1478,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/11,KUALA PEGANG,SEKOLAH KEBANGSAAN KUALA PEGANG,2,489,PAS,UST TAIB AZAMUDDEN,281,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,208,,,,489,0,0
1479,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/12,KAMPUNG RAJA,SEKOLAH KEBANGSAAN KUALA KUPANG,1,408,PAS,UST TAIB AZAMUDDEN,201,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,206,,,,407,1,0
1480,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/13,KAMPUNG LANDAK,SEKOLAH JENIS KEBANGSAAN (CHINA) SENG YOK KUPANG,1,308,PAS,UST TAIB AZAMUDDEN,116,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,181,,,,297,11,0
1481,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/13,KAMPUNG LANDAK,SEKOLAH JENIS KEBANGSAAN (CHINA) SENG YOK KUPANG,2,415,PAS,UST TAIB AZAMUDDEN,221,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,190,,,,411,4,0
1482,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/13,KAMPUNG LANDAK,SEKOLAH JENIS KEBANGSAAN (CHINA) SENG YOK KUPANG,3,368,PAS,UST TAIB AZAMUDDEN,197,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,167,,,,364,4,0
1483,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/14,PEKAN KUPANG,SEKOLAH KEBANGSAAN KAMPUNG KEDA KUPANG,1,272,PAS,UST TAIB AZAMUDDEN,124,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,142,,,,266,6,0
1484,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/14,PEKAN KUPANG,SEKOLAH KEBANGSAAN KAMPUNG KEDA KUPANG,2,440,PAS,UST TAIB AZAMUDDEN,258,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,177,,,,435,5,0
1485,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/15,KUALA CHENERAI,SEKOLAH JENIS KEBANGSAAN (CHINA) CHIN HWA KUALA PEGANG,1,300,PAS,UST TAIB AZAMUDDEN,110,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,187,,,,297,3,0
1486,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/15,KUALA CHENERAI,SEKOLAH JENIS KEBANGSAAN (CHINA) CHIN HWA KUALA PEGANG,2,342,PAS,UST TAIB AZAMUDDEN,164,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,177,,,,341,1,0
1487,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/16,KETEMBA,TABIKA KEMAS KAMPUNG KETEMBA KEMEMEH,1,276,PAS,UST TAIB AZAMUDDEN,115,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,146,,,,261,15,0
1488,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/16,KETEMBA,TABIKA KEMAS KAMPUNG KETEMBA KEMEMEH,2,508,PAS,UST TAIB AZAMUDDEN,292,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,210,,,,502,6,0
1489,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/17,KAMPUNG SADEK,SEKOLAH KEBANGSAAN KAMPUNG SADEK,1,331,PAS,UST TAIB AZAMUDDEN,160,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,165,,,,325,6,0
1490,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/17,KAMPUNG SADEK,SEKOLAH KEBANGSAAN KAMPUNG SADEK,2,442,PAS,UST TAIB AZAMUDDEN,236,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,201,,,,437,5,0
1491,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/17,KAMPUNG SADEK,SEKOLAH KEBANGSAAN KAMPUNG SADEK,3,426,PAS,UST TAIB AZAMUDDEN,268,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,157,,,,425,1,0
1492,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/18,BUKIT TERABAK,SEKOLAH MENENGAH AGAMA (ARAB) DINIAH ISLAMIYAH PEKAN KUPANG,1,288,PAS,UST TAIB AZAMUDDEN,141,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,142,,,,283,5,0
1493,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/18,BUKIT TERABAK,SEKOLAH MENENGAH AGAMA (ARAB) DINIAH ISLAMIYAH PEKAN KUPANG,2,373,PAS,UST TAIB AZAMUDDEN,187,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,181,,,,368,5,0
1494,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/18,BUKIT TERABAK,SEKOLAH MENENGAH AGAMA (ARAB) DINIAH ISLAMIYAH PEKAN KUPANG,3,321,PAS,UST TAIB AZAMUDDEN,211,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,107,,,,318,3,0
1495,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/19,SIMPANG JERAI,SEKOLAH MENENGAH KEBANGSAAN JERAI,1,313,PAS,UST TAIB AZAMUDDEN,238,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,72,,,,310,3,0
1496,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/19,SIMPANG JERAI,SEKOLAH MENENGAH KEBANGSAAN JERAI,2,489,PAS,UST TAIB AZAMUDDEN,411,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,77,,,,488,1,0
1497,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/20,KAMPUNG TANJONG,SEKOLAH KEBANGSAAN SYED SHEH KUPANG,1,321,PAS,UST TAIB AZAMUDDEN,189,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,126,,,,315,6,0
1498,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/20,KAMPUNG TANJONG,SEKOLAH KEBANGSAAN SYED SHEH KUPANG,2,421,PAS,UST TAIB AZAMUDDEN,269,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,149,,,,418,3,0
1499,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/20,KAMPUNG TANJONG,SEKOLAH KEBANGSAAN SYED SHEH KUPANG,3,377,PAS,UST TAIB AZAMUDDEN,269,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,107,,,,376,1,0
1500,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/21,LADANG SUNGAI TAWAR,DEWAN ORANG RAMAI (TOKONG HINDU) KAMPUNG DARA LADANG SUNGAI TAWAR,1,347,PAS,UST TAIB AZAMUDDEN,177,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,160,,,,337,10,0
1501,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/22,BADENOCH,SEKOLAH  JENIS KEBANGSAAN (TAMIL) LADANG BADENOCH/BUKIT HIJAU,1,233,PAS,UST TAIB AZAMUDDEN,98,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,123,,,,221,12,0
1502,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/22,BADENOCH,SEKOLAH  JENIS KEBANGSAAN (TAMIL) LADANG BADENOCH/BUKIT HIJAU,2,315,PAS,UST TAIB AZAMUDDEN,151,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,159,,,,310,5,0
1503,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/23,ULU BAKAI,SEKOLAH KEBANGSAAN ULU BAKAI MALAU,1,567,PAS,UST TAIB AZAMUDDEN,401,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,161,,,,562,5,0
1504,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/24,PEKAN MALAU,SEKOLAH KEBANGSAAN MALAU,1,290,PAS,UST TAIB AZAMUDDEN,160,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,120,,,,280,10,0
1505,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/24,PEKAN MALAU,SEKOLAH KEBANGSAAN MALAU,2,526,PAS,UST TAIB AZAMUDDEN,304,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,218,,,,522,4,0
1506,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/25,BADANG,SEKOLAH KEBANGSAAN BADANG KARANGAN,1,297,PAS,UST TAIB AZAMUDDEN,164,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,116,,,,280,17,0
1507,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/25,BADANG,SEKOLAH KEBANGSAAN BADANG KARANGAN,2,551,PAS,UST TAIB AZAMUDDEN,303,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,233,,,,536,15,0
1508,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/25,BADANG,SEKOLAH KEBANGSAAN BADANG KARANGAN,3,519,PAS,UST TAIB AZAMUDDEN,335,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,175,,,,510,9,0
1509,KEDAH,2008,UNDI BIASA,016,BALING,31,KUPANG,016/31/26,KAMPUNG SIDIM,DEWAN ORANG RAMAI KAMPUNG SEDIM,1,579,PAS,UST TAIB AZAMUDDEN,301,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,262,,,,563,16,0
1510,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/01,FELDA TELOI KANAN,SEKOLAH KEBANGSAAN TELOI KANAN KUALA KETIL,1,308,PAS,UST TAIB AZAMUDDEN,81,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,207,,,,288,20,0
1511,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/01,FELDA TELOI KANAN,SEKOLAH KEBANGSAAN TELOI KANAN KUALA KETIL,2,584,PAS,UST TAIB AZAMUDDEN,179,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,395,,,,574,10,0
1512,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/01,FELDA TELOI KANAN,SEKOLAH KEBANGSAAN TELOI KANAN KUALA KETIL,3,529,PAS,UST TAIB AZAMUDDEN,262,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,263,,,,525,4,0
1513,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/02,KAMPUNG GUAR CHEMPEDAK,SEKOLAH KEBANGSAAN MOHD. ARIFF ABDULLAH TELOI KUALA KETIL,1,402,PAS,UST TAIB AZAMUDDEN,235,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,154,,,,389,13,0
1514,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/02,KAMPUNG GUAR CHEMPEDAK,SEKOLAH KEBANGSAAN MOHD. ARIFF ABDULLAH TELOI KUALA KETIL,2,575,PAS,UST TAIB AZAMUDDEN,446,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,124,,,,570,5,0
1515,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/03,PADANG KULIM,TABIKA KEMAS PADANG KULIM,1,551,PAS,UST TAIB AZAMUDDEN,300,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,237,,,,537,14,0
1516,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/04,PEKAN BARU KUALA KETIL,DEWAN MAJLIS DAERAH BALING KUALA KETIL,1,282,PAS,UST TAIB AZAMUDDEN,111,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,166,,,,277,5,0
1517,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/04,PEKAN BARU KUALA KETIL,DEWAN MAJLIS DAERAH BALING KUALA KETIL,2,259,PAS,UST TAIB AZAMUDDEN,134,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,124,,,,258,1,0
1518,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/05,PEKAN LAMA KUALA KETIL,SEKOLAH JENIS KEBANGSAAN (CHINA) KUALA KETIL,1,254,PAS,UST TAIB AZAMUDDEN,107,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,139,,,,246,8,0
1519,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/05,PEKAN LAMA KUALA KETIL,SEKOLAH JENIS KEBANGSAAN (CHINA) KUALA KETIL,2,346,PAS,UST TAIB AZAMUDDEN,182,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,160,,,,342,4,0
1520,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/05,PEKAN LAMA KUALA KETIL,SEKOLAH JENIS KEBANGSAAN (CHINA) KUALA KETIL,3,309,PAS,UST TAIB AZAMUDDEN,195,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,113,,,,308,1,0
1521,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/06,TAMAN BATU PEKAKA,"SEKOLAH MENENGAH KEBANGSAAN TANJONG PUTERI, KUALA KETIL",1,264,PAS,UST TAIB AZAMUDDEN,124,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,131,,,,255,9,0
1522,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/06,TAMAN BATU PEKAKA,"SEKOLAH MENENGAH KEBANGSAAN TANJONG PUTERI, KUALA KETIL",2,487,PAS,UST TAIB AZAMUDDEN,311,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,170,,,,481,6,0
1523,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/07,BATU PEKAKA,SEKOLAH KEBANGSAAN BATU PEKAKA KUALA KETIL,1,280,PAS,UST TAIB AZAMUDDEN,151,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,119,,,,270,10,0
1524,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/07,BATU PEKAKA,SEKOLAH KEBANGSAAN BATU PEKAKA KUALA KETIL,2,486,PAS,UST TAIB AZAMUDDEN,263,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,217,,,,480,6,0
1525,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/08,KAMPUNG THYE SENG,TABIKA KEMAS KAMPUNG THYE SENG,1,307,PAS,UST TAIB AZAMUDDEN,133,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,164,,,,297,10,0
1526,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/09,KUALA KULI,SEKOLAH KEBANGSAAN SERI JEMERLI LADANG KUALA KETIL,1,259,PAS,UST TAIB AZAMUDDEN,101,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,151,,,,252,7,0
1527,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/09,KUALA KULI,SEKOLAH KEBANGSAAN SERI JEMERLI LADANG KUALA KETIL,2,470,PAS,UST TAIB AZAMUDDEN,245,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,218,,,,463,7,0
1528,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/10,KAMPUNG JAWA,SEKOLAH KEBANGSAAN KUALA KETIL,1,471,PAS,UST TAIB AZAMUDDEN,176,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,286,,,,462,9,0
1529,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/11,PADANG GEH,TABIKA PERPADUAN TAMAN SERI WANGI,1,381,PAS,UST TAIB AZAMUDDEN,250,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,116,,,,366,15,0
1530,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/11,PADANG GEH,TABIKA PERPADUAN TAMAN SERI WANGI,2,513,PAS,UST TAIB AZAMUDDEN,362,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,147,,,,509,4,0
1531,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/12,KUALA MERAH,SEKOLAH KEBANGSAAN KUALA MERAH KUALA KETIL,1,466,PAS,UST TAIB AZAMUDDEN,222,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,237,,,,459,7,0
1532,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/13,PARIT PANJANG,SEKOLAH MENENGAH KEBANGSAAN PARIT PANJANG,1,284,PAS,UST TAIB AZAMUDDEN,242,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,31,,,,273,11,0
1533,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/13,PARIT PANJANG,SEKOLAH MENENGAH KEBANGSAAN PARIT PANJANG,2,573,PAS,UST TAIB AZAMUDDEN,464,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,99,,,,563,10,0
1534,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/13,PARIT PANJANG,SEKOLAH MENENGAH KEBANGSAAN PARIT PANJANG,3,551,PAS,UST TAIB AZAMUDDEN,466,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,82,,,,548,3,0
1535,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/13,PARIT PANJANG,SEKOLAH MENENGAH KEBANGSAAN PARIT PANJANG,4,515,PAS,UST TAIB AZAMUDDEN,450,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,61,,,,511,4,0
1536,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/14,KAMPUNG TEMBAK,SEKOLAH KEBANGSAAN TEMBAK,1,305,PAS,UST TAIB AZAMUDDEN,235,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,61,,,,296,9,0
1537,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/14,KAMPUNG TEMBAK,SEKOLAH KEBANGSAAN TEMBAK,2,443,PAS,UST TAIB AZAMUDDEN,364,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,75,,,,439,4,0
1538,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/14,KAMPUNG TEMBAK,SEKOLAH KEBANGSAAN TEMBAK,3,426,PAS,UST TAIB AZAMUDDEN,363,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,58,,,,421,5,0
1539,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/14,KAMPUNG TEMBAK,SEKOLAH KEBANGSAAN TEMBAK,4,411,PAS,UST TAIB AZAMUDDEN,347,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,62,,,,409,2,0
1540,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/15,PAYA BESAR,SEKOLAH KEBANGSAAN PAYA BESAR,1,448,PAS,UST TAIB AZAMUDDEN,294,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,143,,,,437,11,0
1541,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/15,PAYA BESAR,SEKOLAH KEBANGSAAN PAYA BESAR,2,609,PAS,UST TAIB AZAMUDDEN,434,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,173,,,,607,2,0
1542,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/16,KUALA SAMAK,SEKOLAH KEBANGSAAN KUALA SAMAK,1,328,PAS,UST TAIB AZAMUDDEN,223,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,99,,,,322,6,0
1543,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/16,KUALA SAMAK,SEKOLAH KEBANGSAAN KUALA SAMAK,2,341,PAS,UST TAIB AZAMUDDEN,260,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,79,,,,339,2,0
1544,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/16,KUALA SAMAK,SEKOLAH KEBANGSAAN KUALA SAMAK,3,321,PAS,UST TAIB AZAMUDDEN,225,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,88,,,,313,8,0
1545,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/17,BINJOL DALAM,SEKOLAH KEBANGSAAN BINJOL DALAM,1,323,PAS,UST TAIB AZAMUDDEN,194,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,118,,,,312,11,0
1546,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/17,BINJOL DALAM,SEKOLAH KEBANGSAAN BINJOL DALAM,2,368,PAS,UST TAIB AZAMUDDEN,267,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,100,,,,367,1,0
1547,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/18,KAMPUNG TAWAR,SEKOLAH KEBANGSAAN TAWAR,1,288,PAS,UST TAIB AZAMUDDEN,120,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,152,,,,272,16,0
1548,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/18,KAMPUNG TAWAR,SEKOLAH KEBANGSAAN TAWAR,2,323,PAS,UST TAIB AZAMUDDEN,168,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,152,,,,320,3,0
1549,KEDAH,2008,UNDI BIASA,016,BALING,32,KUALA KETIL,016/32/19,PEKAN TAWAR,SEKOLAH JENIS KEBANGSAAN (CHINA) KONG MIN TAWAR,1,233,PAS,UST TAIB AZAMUDDEN,89,UMNO,DATO' ABDUL AZEEZ BIN ABDUL RAHIM,137,,,,226,7,0
